Source,Rate category,Updated Parish,Month,Sum of Budget
Postpaid,RT10,St. Thomas,May-26,2308765
Postpaid,RT10,St. Thomas,Jun-26,2451957
Postpaid,RT10,St. Thomas,Jul-26,2538211
Postpaid,RT10,St. Thomas,Aug-26,2802323
Postpaid,RT10,St. Thomas,Sept-26,2573408
Postpaid,RT10,St. Thomas,Oct-26,2528680
Postpaid,RT10,St. Thomas,Nov-26,2397552
Postpaid,RT10,St. Thomas,Dec-26,2262343
Postpaid,RT10,Trelawny,Apr-26,2418858
Postpaid,RT10,Trelawny,May-26,2531888
Postpaid,RT10,Trelawny,Jun-26,2838303
Postpaid,RT10,Trelawny,Jul-26,2938148
Postpaid,RT10,Trelawny,Aug-26,3081681
Postpaid,RT10,Trelawny,Sept-26,2829946
Postpaid,RT10,Trelawny,Oct-26,2780759
Postpaid,RT10,Trelawny,Nov-26,2636560
Postpaid,RT10,Trelawny,Dec-26,2487872
Postpaid,RT10,Westmoreland,Apr-26,3481084
Postpaid,RT10,Westmoreland,May-26,4099219
Postpaid,RT10,Westmoreland,Jun-26,4595317
Postpaid,RT10,Westmoreland,Jul-26,4756969
Postpaid,RT10,Westmoreland,Aug-26,4989354
Postpaid,RT10,Westmoreland,Sept-26,4581787
Postpaid,RT10,Westmoreland,Oct-26,4502151
Postpaid,RT10,Westmoreland,Nov-26,4268687
Postpaid,RT10,Westmoreland,Dec-26,4027955
Postpaid,RT20,Clarendon,Apr-26,2719893
Postpaid,RT20,Clarendon,May-26,2810962
Postpaid,RT20,Clarendon,Jun-26,2989004
Postpaid,RT20,Clarendon,Jul-26,3084326
Postpaid,RT20,Clarendon,Aug-26,3241997
Postpaid,RT20,Clarendon,Sept-26,3171965
Postpaid,RT20,Clarendon,Oct-26,3058831
Postpaid,RT20,Clarendon,Nov-26,2947565
Postpaid,RT20,Clarendon,Dec-26,2836494
Postpaid,RT20,Hanover,Apr-26,813714
Postpaid,RT20,Hanover,May-26,946079
Postpaid,RT20,Hanover,Jun-26,1061891
Postpaid,RT20,Hanover,Jul-26,1095756
Postpaid,RT20,Hanover,Aug-26,1094182
Postpaid,RT20,Hanover,Sept-26,1070546
Postpaid,RT20,Hanover,Oct-26,1032363
Postpaid,RT20,Hanover,Nov-26,994810
Postpaid,RT20,Hanover,Dec-26,957324
Postpaid,RT20,KSAN,Apr-26,8706534
Postpaid,RT20,KSAN,May-26,8998049
Postpaid,RT20,KSAN,Jun-26,9567972
Postpaid,RT20,KSAN,Jul-26,9873106
Postpaid,RT20,KSAN,Aug-26,10377819
Postpaid,RT20,KSAN,Sept-26,10153641
Postpaid,RT20,KSAN,Oct-26,9791492
Postpaid,RT20,KSAN,Nov-26,9435325
Postpaid,RT20,KSAN,Dec-26,9079781
Postpaid,RT20,KSAS,Apr-26,9711264
Postpaid,RT20,KSAS,May-26,10036420
Postpaid,RT20,KSAS,Jun-26,10672112
Postpaid,RT20,KSAS,Jul-26,11012458
Postpaid,RT20,KSAS,Aug-26,11221065
Postpaid,RT20,KSAS,Sept-26,10978672
Postpaid,RT20,KSAS,Oct-26,10587096
Postpaid,RT20,KSAS,Nov-26,10201989
Postpaid,RT20,KSAS,Dec-26,9817556
Postpaid,RT20,Manchester,Apr-26,2294954
Postpaid,RT20,Manchester,May-26,2371795
Postpaid,RT20,Manchester,Jun-26,2522021
Postpaid,RT20,Manchester,Jul-26,2602451
Postpaid,RT20,Manchester,Aug-26,2735488
Postpaid,RT20,Manchester,Sept-26,2676397
Postpaid,RT20,Manchester,Oct-26,2580938
Postpaid,RT20,Manchester,Nov-26,2487056
Postpaid,RT20,Manchester,Dec-26,2393338
Postpaid,RT20,Portland,Apr-26,1168588
Postpaid,RT20,Portland,May-26,1207716
Postpaid,RT20,Portland,Jun-26,1284210
Postpaid,RT20,Portland,Jul-26,1325165
Postpaid,RT20,Portland,Aug-26,1378398
Postpaid,RT20,Portland,Sept-26,1348623
Postpaid,RT20,Portland,Oct-26,1300522
Postpaid,RT20,Portland,Nov-26,1253215
Postpaid,RT20,Portland,Dec-26,1205991
Postpaid,RT20,Portmore,Apr-26,2012873
Postpaid,RT20,Portmore,May-26,2080269
Postpaid,RT20,Portmore,Jun-26,2212030
Postpaid,RT20,Portmore,Jul-26,2282574
Postpaid,RT20,Portmore,Aug-26,2325813
Postpaid,RT20,Portmore,Sept-26,2275571
Postpaid,RT20,Portmore,Oct-26,2194409
Postpaid,RT20,Portmore,Nov-26,2114587
Postpaid,RT20,Portmore,Dec-26,2034904
Postpaid,RT20,St. Ann,Apr-26,3274492
Postpaid,RT20,St. Ann,May-26,3807146
Postpaid,RT20,St. Ann,Jun-26,4273189
Postpaid,RT20,St. Ann,Jul-26,4409466
Postpaid,RT20,St. Ann,Aug-26,4634878
Postpaid,RT20,St. Ann,Sept-26,4534757
Postpaid,RT20,St. Ann,Oct-26,4373016
Postpaid,RT20,St. Ann,Nov-26,4213947
Postpaid,RT20,St. Ann,Dec-26,4055156
Postpaid,RT20,St. Catherine,Apr-26,4627612
Postpaid,RT20,St. Catherine,May-26,4782556
Postpaid,RT20,St. Catherine,Jun-26,5085475
Postpaid,RT20,St. Catherine,Jul-26,5247657
Postpaid,RT20,St. Catherine,Aug-26,5347063
Postpaid,RT20,St. Catherine,Sept-26,5231557
Postpaid,RT20,St. Catherine,Oct-26,5044964
Postpaid,RT20,St. Catherine,Nov-26,4861452
Postpaid,RT20,St. Catherine,Dec-26,4678262
Postpaid,RT20,St. Elizabeth,Apr-26,1758092
Postpaid,RT20,St. Elizabeth,May-26,2044076
Postpaid,RT20,St. Elizabeth,Jun-26,2294298
Postpaid,RT20,St. Elizabeth,Jul-26,2367465
Postpaid,RT20,St. Elizabeth,Aug-26,2364066
Postpaid,RT20,St. Elizabeth,Sept-26,2312998
Postpaid,RT20,St. Elizabeth,Oct-26,2230500
Postpaid,RT20,St. Elizabeth,Nov-26,2149366
Postpaid,RT20,St. Elizabeth,Dec-26,2068373
Postpaid,RT20,St. James,Apr-26,4997538
Postpaid,RT20,St. James,May-26,5810476
Postpaid,RT20,St. James,Jun-26,6521752
